t_s,roll_deg,pitch_deg,yaw_deg,roll_err_deg,pitch_err_deg,yaw_err_deg,wx_rad_s,wy_rad_s,wz_rad_s,throttle_cmd,rcs_cmd_sum,legs_cmd
0.0,44.99333048187747,45.00407659581259,44.99208633129367,44.99333048187748,45.00407659581258,44.99208633129368,-0.001799571211449802,-0.0018015220994129777,-0.01145902369171381,-1.0,6.0,-1.0
0.03333333333333333,44.9759820956802,45.0146680085879,44.971503586367845,44.97598209568021,45.01466800858789,44.97150358636784,-0.003598529379814863,-0.003603561082854867,-0.02291783317923546,-1.0,6.0,-1.0
0.06666666666666667,44.94793358889982,45.03177225454076,44.93822835610861,44.94793358889982,45.03177225454076,44.93822835610861,-0.005396208260208368,-0.005406741052865982,-0.03437640145421028,-1.0,6.0,-1.0
0.1,44.90916870424685,45.055362786046764,44.89224642526535,44.90916870424684,45.055362786046764,44.892246425265355,-0.007191940676420927,-0.007211686577647924,-0.04583470895886421,-1.0,6.0,-1.0
0.13333333333333333,44.859651912416005,45.08543470236883,44.83351674615106,44.859651912416005,45.085434702368815,44.833516746151076,-0.008985058404505253,-0.009019019082188606,-0.057292718440294266,-1.0,6.0,-1.0
0.16666666666666666,44.79933525589469,45.121951028343176,44.7619913423814,44.79933525589468,45.12195102834317,44.76199134238139,-0.010774890892207623,-0.010829359292984009,-0.06875041127204895,-1.0,6.0,-1.0
0.19999999999999998,44.72817018354553,45.1648825663797,44.67761668956061,44.728170183545544,45.164882566379696,44.6776166895606,-0.0125607680529356,-0.012643324211239815,-0.08020776510238647,-1.0,6.0,-1.0
0.2333333333333333,44.646088496797326,45.2142017075999,44.58032380784903,44.64608849679732,45.21420170759989,44.58032380784904,-0.01434201467782259,-0.01446153037250042,-0.09166474640369415,-1.0,6.0,-1.0
0.26666666666666666,44.55301683450131,45.26985499982588,44.47003358401886,44.553016834501314,45.26985499982588,44.47003358401886,-0.01611795276403427,-0.016284586861729622,-0.1031213328242302,-1.0,6.0,-1.0
0.3,44.448875458236394,45.331802340598536,44.34666471059512,44.448875458236394,45.331802340598536,44.34666471059513,-0.0178879052400589,-0.01811310462653637,-0.11457749456167221,-1.0,6.0,-1.0
0.3333333333333333,44.33357219647098,45.39998609281377,44.210117163759975,44.333572196470975,45.39998609281377,44.21011716375997,-0.01965118572115898,-0.019947683438658714,-0.126033216714859,-1.0,6.0,-1.0
0.36666666666666664,44.20700298945599,45.47434180113829,44.060280581180244,44.20700298945598,45.47434180113827,44.06028058118026,-0.021407106891274452,-0.02178892306983471,-0.137488454580307,-1.0,6.0,-1.0
0.39999999999999997,44.06905440993289,45.554811824083934,43.8970380891353,44.069054409932896,45.55481182408394,43.89703808913531,-0.023154975846409798,-0.02363741584122181,-0.1489432007074356,-1.0,6.0,-1.0
0.4333333333333333,43.919607552275586,45.64131469227962,43.72026232393262,43.9196075522756,45.64131469227962,43.72026232393262,-0.024894099682569504,-0.025493750348687172,-0.16039741039276123,-1.0,6.0,-1.0
0.4666666666666666,43.758530104705,45.73377450891225,43.52981666026431,43.758530104704995,45.733774508912255,43.529816660264295,-0.026623772457242012,-0.02735850214958191,-0.17185108363628387,-1.0,6.0,-1.0
0.49999999999999994,43.5856742790057,45.832113984428865,43.32554139821652,43.585674279005715,45.83211398442886,43.325541398216515,-0.028343286365270615,-0.029232248663902283,-0.18330417573451996,-1.0,6.0,-1.0
0.5333333333333333,43.40089724250686,45.93622658391505,43.10728845409551,43.40089724250687,45.936226583915065,43.1072884540955,-0.030051931738853455,-0.03111555427312851,-0.1947566568851471,-1.0,6.0,-1.0
0.5666666666666667,43.20402890600245,46.046024034176796,42.874878827092544,43.204028906002435,46.0460240341768,42.87487882709254,-0.03174898773431778,-0.03300897777080536,-0.2062085121870041,-1.0,6.0,-1.0
0.6,42.99489605449954,46.16139101671559,42.628127903785085,42.994896054499534,46.16139101671558,42.628127903785085,-0.03343372419476509,-0.034913063049316406,-0.21765971183776855,-1.0,6.0,-1.0
0.6333333333333333,42.773322674085726,46.2822232018509,42.366851081502894,42.77332267408573,46.28222320185091,42.36685108150289,-0.03510541096329689,-0.03682835400104523,-0.2291102409362793,-1.0,6.0,-1.0
0.6666666666666666,42.53910705334403,46.40839393703285,42.09083427339432,42.53910705334404,46.408393937032855,42.090834273394314,-0.03676331043243408,-0.0387553796172142,-0.24056003987789154,-1.0,6.0,-1.0
0.7,42.29204905912909,46.539771467163774,41.799868991651515,42.292049059129084,46.53977146716378,41.799868991651515,-0.03840667009353638,-0.04069465771317482,-0.2520091235637665,-1.0,6.0,-1.0
0.7333333333333333,42.031940270093514,46.676219977097574,41.49373338108606,42.031940270093514,46.676219977097574,41.49373338108607,-0.040034737437963486,-0.04264669865369797,-0.26345744729042053,-1.0,6.0,-1.0
0.7666666666666666,41.7585502030861,46.817599679258485,41.17218236811608,41.758550203086116,46.81759967925848,41.17218236811609,-0.041646745055913925,-0.04461199417710304,-0.2749049961566925,-1.0,6.0,-1.0
0.7999999999999999,41.47164726022018,46.96374477856625,40.834973643642606,41.47164726022017,46.96374477856625,40.83497364364259,-0.043241921812295914,-0.04659103974699974,-0.2863517105579376,-1.0,6.0,-1.0
0.8333333333333333,41.170983454105965,47.11450657757856,40.481844796585825,41.170983454105965,47.11450657757855,40.48184479658584,-0.04481948912143707,-0.04858429729938507,-0.29779762029647827,-1.0,6.0,-1.0
0.8666666666666666,40.85631135441557,47.2696947786615,40.11253385728661,40.85631135441557,47.26969477866151,40.11253385728662,-0.04637865722179413,-0.05059222877025604,-0.3092426359653473,-1.0,6.0,-1.0
0.8999999999999999,40.52736371578139,47.429136536520964,39.726757903873974,40.52736371578139,47.42913653652097,39.726757903873974,-0.04791862145066261,-0.05261528119444847,-0.32068678736686707,-1.0,6.0,-1.0
0.9333333333333332,40.1838687921324,47.59264142147661,39.32423073406045,40.18386879213241,47.5926414214766,39.32423073406045,-0.04943857714533806,-0.05465388298034668,-0.3321300148963928,-1.0,6.0,-1.0
