t_s,roll_deg,pitch_deg,yaw_deg,roll_err_deg,pitch_err_deg,yaw_err_deg,wx_rad_s,wy_rad_s,wz_rad_s,throttle_cmd,rcs_cmd_sum,legs_cmd
0.0,44.9989261512635,-6.733195062940605e-20,6.848894868625012e-20,44.9989261512635,0.0,0.0,-0.0017996421083807945,1.7948666167083885e-21,1.9564853249258688e-19,-1.0,2.0,-1.0
0.03333333333333333,44.99613311556356,-2.3669140856610026e-19,2.4052432511246046e-19,44.996133115563545,0.0,0.0,-0.0035992381162941456,1.916156820785378e-21,2.7550863303273065e-19,-1.0,2.0,-1.0
0.06666666666666667,44.991622558325695,-4.512301013419978e-19,4.577558925677595e-19,44.99162255832569,0.0,0.0,-0.0053987703286111355,2.2069297892465903e-21,3.574017108739825e-19,-1.0,2.0,-1.0
0.1,44.98539078274549,-7.287901955137718e-19,7.362154038815173e-19,44.98539078274549,0.0,0.0,-0.0071982210502028465,-3.408235347517794e-21,5.396553716653743e-19,-1.0,2.0,-1.0
0.13333333333333333,44.977444099128206,-1.1722917414926995e-18,1.1768810105303487e-18,44.97744409912819,0.0,0.0,-0.008997571654617786,-2.260152278146807e-21,6.779115800184062e-19,-1.0,2.0,-1.0
0.16666666666666666,44.96777935196073,-1.6794208590609122e-18,1.6824950852897011e-18,44.967779351960736,0.0,0.0,-0.01079680398106575,-1.5445591582155889e-21,7.583278561229153e-19,-1.0,2.0,-1.0
0.19999999999999998,44.95639654094262,-2.2211029043302764e-18,2.223327955793682e-18,44.956396540942634,0.0,0.0,-0.01259590033441782,-7.1537935755856495e-22,8.393400124611923e-19,-1.0,2.0,-1.0
0.2333333333333333,44.94329305514249,-2.7973010547449712e-18,2.799645579737157e-18,44.9432930551425,0.0,0.0,-0.014394843019545078,-6.066569067703222e-22,8.619973683184206e-19,-1.0,2.0,-1.0
0.26666666666666666,44.92847411660015,-3.3879137913919212e-18,3.3909854491338583e-18,44.92847411660015,0.0,0.0,-0.016193613409996033,-3.2061296379840525e-22,8.832794847084912e-19,-1.0,2.0,-1.0
0.3,44.91193711399723,-4.040918280737503e-18,4.04724991152853e-18,44.91193711399724,0.0,0.0,-0.01799219474196434,1.9416976377850865e-21,1.0207998125090806e-18,-1.0,2.0,-1.0
0.3333333333333333,44.893682047725605,-4.875893516712686e-18,4.882391211059552e-18,44.893682047725605,0.0,0.0,-0.019790567457675934,-1.3911409844972272e-21,1.2592603700740565e-18,-1.0,2.0,-1.0
0.36666666666666664,44.8737083688697,-5.772508751686728e-18,5.782708465369944e-18,44.8737083688697,0.0,0.0,-0.02158871479332447,5.156113016333699e-22,1.3384879359395386e-18,-1.0,2.0,-1.0
0.39999999999999997,44.85201978245812,-6.682917147836273e-18,6.699344386997907e-18,44.85201978245811,0.0,0.0,-0.023386618122458458,1.9478435331908058e-21,1.3611321086057543e-18,-1.0,2.0,-1.0
